,source,name,cluster_id_real
5,dosieren.net,ab 5 stück,0_price_5_unit
6,abt.com,capacity (cu. ft.),0_capacity_tank
7,ontimesupplies.com,capacity (volume),0_capacity_tank
8,greenwayford.com,dealer discount,0_discount
9,carcraft.co.uk,engine size,0_engine_size
10,absatzplus.com,frachtkosten,0_trasport_cost
11,hondaenergy.com,fuel tank capacity (litres),0_fuel_capacity
12,licht-produktiv.de,gewicht,0_weight
13,pulsiva.com,gewicht,0_weight
14,schulranzen.net,gewicht,0_weight
15,autoteile-guenstig.de,gewicht,0_weight
16,toolteam24.com,gewicht,0_weight
17,accuserviceholland.nl,gewicht,0_weight
18,bathdesign.de,gewicht,0_price
23,refusevehiclesolutions.co.uk,gvw,0_gross_vehicle_weight
24,productioncase.com,interior height,0_interior_height
25,hammerkauf.de,kapazität ah,0_capacity_battery
26,heritageparts.com,length (inches),0_length
28,buyford.com,mpg highway,0_mpg_highway
29,demontrond.com,mpg highway,0_mpg_highway
33,partstown.com,peso,0_weight
38,partstown.com,poids,0_weight
40,primo-ideo.com,poids brut (kg),0_weight
41,bcracing-na.com,rear spring,0_rear_spring
42,pelicanparts.com,rear spring,0_rear_spring
43,leasetrader.com,vehicle msrp,0_suggested_price
45,gabionenshop.com,versandgewicht,0_shipment_weight
48,k-tec-germany.com,versandgewicht,0_shipment_weight
49,customwheelsexpress.com,weight,0_weight
50,eccowarninglights.com,weight,0_weight
53,jegs.com,weight,0_weight
54,oehq.com,weight,0_weight
55,partstown.com,weight,0_weight
57,promotionalproductinc.com,weight,0_weight
61,tubesandmore.com,weight,0_weight
63,goldwingdocs.com,weight,0_weight
65,shopblt.com,weight,0_weight
67,x-tremetuning.com,weight,0_weight
68,ttpremium.com,weight,0_weight
73,hondagarden.com,weight,0_weight
74,budsgunshop.com,weight,0_weight
75,tmart.com,weight,0_weight
76,rvupgradestore.com,weight,0_weight
78,restockit.com,weight,0_weight
81,scooter-center.com,weight,0_weight
83,electricautomationnetwork.com,weight,0_weight
85,sloughrc.com,weight,0_weight
87,katom.com,weight,0_weight
89,jensonusa.com,weight,0_weight
92,oemcats.com,you can save,0_discount
94,wholesalemarine.com,# gallons,1_capacity_tank
110,dosieren.net,ab 10 stück,1_price_10_unit
111,dosieren.net,ab 50 stück,1_price_50_unit
113,partstown.com,altura,1_height
114,scooter-center.com,anzahl bosstports,1_number_boosts
115,scooter-center.com,anzahl schrauben,1_number_screws
119,oemcats.com,average price,1_price
122,budsgunshop.com,box qty,1_quantity
127,bavauto.ro,cod produs intern,1_product_id
129,radiatorvalves4u.co.uk,depth (mm),1_depth
130,abt.com,depth with door open,1_depth_door_open
133,scooter-center.com,diámetro externo,1_external_diameter
134,wagner-autoteile.de,dicke/stärke [mm],1_depth
139,scooter-center.com,durchmesser außen,1_external_diameter
140,lease-termination.com,ege highway mpg,1_highway_mpg
141,leasetrader.com,ege highway mpg,1_highway_mpg
144,lease-termination.com,front track,1_front_track
145,leasetrader.com,front track,1_front_track
147,votre-briquet.com,hauteur,1_height
148,ventaneumaticos.com,hauteur,1_height
149,partstown.com,hauteur,1_height
150,fashioneyewear.com,height,1_height
151,rewonline.com,height,1_height
152,ventaneumaticos.com,height,1_height
155,fashioneyewear.co.uk,height,1_height
156,x-tremetuning.com,height,1_height
157,warnersstellian.com,height,1_height
158,sloughrc.com,height,1_height
159,atlashandlinguk.co.uk,height,1_height
160,electricautomationnetwork.com,height,1_height
162,partstown.com,height,1_height
164,productioncase.com,interior length,1_length
166,carkart.com,item model number,1_model_number
174,pneustore.com.br,largura,1_width
177,scooter-center.com,length air intake,1_length_air_intake
178,scooter-center.com,length battery,1_length_battery
179,scooter-center.com,load-index,1_load_index
181,hondagarden.com,max tilling depth,1_max_tilling_depth
182,49thstreetautosales.com,mileage,1_mileage
183,5starautotampa.com,mileage,1_mileage
184,a5kusedcars.com,mileage,1_mileage
185,aandeauto.com,mileage,1_mileage
186,adamsmotorcompanyinc.org,mileage,1_mileage
187,agnauto.com,mileage,1_mileage
188,agnautogallery.com,mileage,1_mileage
189,allensamuelsdirect.com,mileage,1_mileage
190,amazingdealsautos.com,mileage,1_mileage
191,andycothernautosales.com,mileage,1_mileage
194,arkautosales.com,mileage,1_mileage
196,augustaautoandtrucksales.com,mileage,1_mileage
198,automobilesofdistinction.com,mileage,1_mileage
199,baldwinautomotive.com,mileage,1_mileage
200,bbt-inc.com,mileage,1_mileage
201,beltonautocredit.com,mileage,1_mileage
202,bernardcars.com,mileage,1_mileage
203,bishopmotorsportsinc.com,mileage,1_mileage
205,bosautosales.com,mileage,1_mileage
206,budgetautoandtrucksales.com,mileage,1_mileage
207,burnoutsofasheville.com,mileage,1_mileage
209,canadaautosales.net,mileage,1_mileage
210,candcmotorco.com,mileage,1_mileage
211,candjoftampa.com,mileage,1_mileage
212,capitalcityautosalesfl.com,mileage,1_mileage
213,cardealsautosales.com,mileage,1_mileage
215,carsincstore.com,mileage,1_mileage
216,carsoftampainc.com,mileage,1_mileage
217,carsrusofaugusta.com,mileage,1_mileage
218,cervantesauto.com,mileage,1_mileage
220,charlotteautosales.com,mileage,1_mileage
221,cherokeeautogroup.com,mileage,1_mileage
222,cmorecars.com,mileage,1_mileage
223,defoellerautosales.com,mileage,1_mileage
224,dillonautosales.net,mileage,1_mileage
225,dnkautosalesllc.com,mileage,1_mileage
226,driverschoiceanniston.com,mileage,1_mileage
227,eagleautos.net,mileage,1_mileage
228,earlleeautosales.com,mileage,1_mileage
229,eazyrideautosales.com,mileage,1_mileage
230,extremeautoworld.com,mileage,1_mileage
231,ezpaycars.com,mileage,1_mileage
232,fairfaxhyundai.com,mileage,1_mileage
233,firstchoiceautosohio.com,mileage,1_mileage
234,floridainternetcars.com,mileage,1_mileage
235,galeriaautomart.com,mileage,1_mileage
236,gatewayautosalesjax.com,mileage,1_mileage
238,georgiamotors.net,mileage,1_mileage
239,goebelsusedcars.com,mileage,1_mileage
240,goodwheelsautoga.com,mileage,1_mileage
241,greencornerautopark.com,mileage,1_mileage
242,guysautomotive.net,mileage,1_mileage
243,hallmarkautosales.com,mileage,1_mileage
244,hammontonauto.com,mileage,1_mileage
245,happyautomart.com,mileage,1_mileage
247,hevenerscars.com,mileage,1_mileage
248,highwaymotorsonline.com,mileage,1_mileage
249,hwy321auto.com,mileage,1_mileage
250,hydeparkautosales.com,mileage,1_mileage
251,importaat.com,mileage,1_mileage
252,irbyautosales.com,mileage,1_mileage
254,justaskforjeff.com,mileage,1_mileage
256,lakeviewautos.com,mileage,1_mileage
258,laurelmotorsllc.com,mileage,1_mileage
259,lbmotorsaugusta.com,mileage,1_mileage
260,linearcars.com,mileage,1_mileage
262,lovittmotorcompany.com,mileage,1_mileage
263,lumpysautosales.com,mileage,1_mileage
264,mamascarcity.com,mileage,1_mileage
266,metromotorsalesinc.com,mileage,1_mileage
267,middlemansav.com,mileage,1_mileage
268,mooreautomotivesc.com,mileage,1_mileage
269,moultonmotors.com,mileage,1_mileage
270,mtncountryauto.com,mileage,1_mileage
272,parkcitiesfordofdallas.com,mileage,1_mileage
275,pensacolaautobrokers4u.com,mileage,1_mileage
276,pensacolaautomart.com,mileage,1_mileage
278,rainbowmotorsinc.com,mileage,1_mileage
279,rainwatermotorco.com,mileage,1_mileage
281,randrsalesinconline.com,mileage,1_mileage
282,raysusedcars.com,mileage,1_mileage
283,regalhonda.com,mileage,1_mileage
284,regalkia.com,mileage,1_mileage
285,republicautocredit.com,mileage,1_mileage
287,rustyeckford.com,mileage,1_mileage
288,satillamotors.com,mileage,1_mileage
289,saveatmorgans.com,mileage,1_mileage
290,sefleet.com,mileage,1_mileage
292,skillmansautosales.com,mileage,1_mileage
293,slcenterprisesinc.com,mileage,1_mileage
294,southcentraltrucksales.com,mileage,1_mileage
295,southernwholesalecars.com,mileage,1_mileage
296,southsideautosales.net,mileage,1_mileage
297,southsidemotorco.com,mileage,1_mileage
298,stanthompsonautosales.com,mileage,1_mileage
299,sunsetautosalesandclassics.net,mileage,1_mileage
300,supercarsautosales.com,mileage,1_mileage
302,tandwmotor.com,mileage,1_mileage
303,tandwmotors.com,mileage,1_mileage
304,taylorscars.com,mileage,1_mileage
305,thebestdealautos.com,mileage,1_mileage
306,thecarriagecompany.net,mileage,1_mileage
307,theprestigegallery.com,mileage,1_mileage
308,troyhambycars.com,mileage,1_mileage
310,unitedautosalesoffortpierce.com,mileage,1_mileage
312,vanscarsandtrucks.net,mileage,1_mileage
313,vizionauto.com,mileage,1_mileage
314,waltwilliamsinc.com,mileage,1_mileage
316,wildwoodautomart.com,mileage,1_mileage
319,yesautomotivedublin.com,mileage,1_mileage
321,langfordent.com,mileage,1_mileage
322,langfordsqualitycars.com,mileage,1_mileage
323,pugmirefordcarrollton.com,mileage,1_mileage
324,pugmirefordcartersville.com,mileage,1_mileage
325,sethwadleydodge.com,mileage,1_mileage
327,greenwayford.com,mileage,1_mileage
329,buyford.com,mileage,1_mileage
330,allensamuels.com,mileage,1_mileage
331,adachevy.com,mileage,1_mileage
332,demontrond.com,mileage,1_mileage
333,sethwadleyford.com,mileage,1_mileage
334,veteransfordtampa.com,mileage,1_mileage
335,westsidekia.com,mileage,1_mileage
336,ashevilleford.com,mileage,1_mileage
337,andersonfordsc.com,mileage,1_mileage
338,huntersvilleford.com,mileage,1_mileage
339,pugmire.com,mileage,1_mileage
341,jackmillerautoplaza.net,mileage,1_mileage
343,liveoaktruckcenter.com,mileage,1_mileage
345,billdubetoyota.com,mileage,1_mileage
346,allensamuelsfar.com,mileage,1_mileage
347,carpointoforlando.com,mileage,1_mileage
348,700carconnection.com,mileage,1_mileage
350,drivecrescent.com,mileage,1_mileage
351,billdubeford.com,mileage,1_mileage
352,carcraft.co.uk,mileage,1_mileage
353,kiaofmurfreesboro.com,mileage,1_mileage
355,mayhallautosales.com,mileage,1_mileage
357,jacobsautorockingham.com,mileage,1_mileage
359,usedmotorcycles.net,mileage,1_mileage
361,896-6222.com,mileage,1_mileage
362,autoflex.com,mileage,1_mileage
363,mcclaryforddirect.com,mileage,1_mileage
364,gordonautowholesale.com,mileage,1_mileage
365,billdube.com,mileage,1_mileage
368,regalkia.com,miles,1_mileage
369,allensamuelsdirect.com,miles,1_mileage
371,autoflex.com,miles,1_mileage
372,greenwayford.com,miles,1_mileage
373,huntersvilleford.com,miles,1_mileage
374,justaskforjeff.com,miles,1_mileage
377,pugmire.com,miles,1_mileage
378,pugmirefordcarrollton.com,miles,1_mileage
379,pugmirefordcartersville.com,miles,1_mileage
380,veteransfordtampa.com,miles,1_mileage
383,ashevilleford.com,miles,1_mileage
384,sethwadleyford.com,miles,1_mileage
385,andersonfordsc.com,miles,1_mileage
386,allensamuels.com,miles,1_mileage
387,adachevy.com,miles,1_mileage
388,fairfaxhyundai.com,miles,1_mileage
390,regalhonda.com,miles,1_mileage
392,rustyeckford.com,miles,1_mileage
393,sleequipment.com,model,1_model_name
394,customwheelsexpress.com,model,1_model_name
396,canadaautosales.net,model,1_model_name
397,saveatmorgans.com,model,1_model_name
398,budkoo.com,model,1_model_name
399,lovittmotorcompany.com,model,1_model_name
400,tmart.com,model,1_model_name
403,westsidekia.com,model,1_model_name
404,carkart.com,model,1_model_name
405,blacklabeltactical.com,model,1_model_name
407,baldwinautomotive.com,model,1_model_name
412,usedmotorcycles.net,model,1_model_name
413,firstchoiceautosohio.com,model,1_model_name
419,originalair.com,model,1_model_name
421,gamrentals.com,model,1_model_name
425,southcentraltrucksales.com,model,1_model_name
426,k-tec-germany.com,modell,1_model_name
427,schutzprofi.com,modell,1_model_name
428,electricautomationnetwork.com,montageplattenbreite,1_mounting_plate_width
432,absatzplus.com,nettobetrag,1_net_price
433,scooter-center.com,number of bosst ports,1_number_boosts
434,scooter-center.com,number of screws,1_number_screws
435,scooter-center.com,number of springs,1_number_springs
437,ontimesupplies.com,ots product id,1_product_id
438,scooter-center.com,outer diameter,1_external_diameter
439,northernautoparts.com,outlet diameter (in),1_external_diameter
442,chemicalguys.com,part number,1_part_n
444,cabdepot.com,part number,1_part_n
445,propartsusa.com,part number,1_part_n
447,aeri.com,part number,1_part_n
448,kseriesparts.com,part number,1_part_n
449,tracepartsonline.net,part number,1_part_n
450,carsparkplugs.com,part number,1_part_n
451,budkoo.com,part number,1_part_n
452,customwheelsexpress.com,part number,1_part_n
453,shopclues.com,part number,1_part_n
454,goldwingdocs.com,part number,1_part_n
455,partacus.de,part number,1_part_n
456,refusevehiclesolutions.co.uk,part number,1_part_n
458,northernautoparts.com,pinion shaft diameter (in),1_pinion_shaft_diameter
461,cmc-versand.de,preis,1_price
465,partstown.com,qty on hand,1_quantity
467,buyford.com,rear leg room,1_rear_leg_room
468,demontrond.com,rear leg room,1_rear_leg_room
471,greenwayford.com,retail bonus customer cash,1_retail_bonus_customer_cash
473,tracepartsonline.net,rs stock number,1_rs_stock_number
474,autohaulersupply.com,sale price,1_price
479,icamsecurity.com,sku,1_sku
483,tweakers.net,sku,1_sku
485,furniturelandsouth.com,sku,1_sku
487,bcracing-na.com,sku,1_sku
489,toolteam24.com,sku hersteller,1_sku
494,ontimesupplies.com,total recycled content percent,1_recycled_content
496,northernautoparts.com,width (in),1_width
497,katom.com,width (in),1_width
498,abt.com,width (inches),1_width
499,heritageparts.com,width (inches),1_width
500,crutchfield.com,width (inches),1_width
509,electricautomationnetwork.com,breite,3_width
511,wagner-autoteile.de,breite [mm],3_width
515,tarmacsportz.co.uk,cash price,3_price
516,play-asia.com,catalog no,3_catalog_number
532,leasetrader.com,epa interior volume,3_epa_volume
534,partstown.com,equipamiento del fabricante #,3_mpn
538,hammerkauf.de,höhe in mm,3_height
541,gabionenshop.com,länge,3_depth
542,ventaneumaticos.com,largeur,3_width
543,partstown.com,largeur,3_width
544,votre-briquet.com,largeur,3_width
558,shopblt.com,manufacturer part #,3_mpb
559,carkart.com,manufacturer part number,3_mpn
562,tracepartsonline.net,mass,3_weight
563,scooter-center.com,masse gewichtssatz 1,3_weight
568,leasetrader.com,rear brake width,3_rear_brake_width
570,northernautoparts.com,ring gear diameter (in),3_ring_gear_diameter
572,k-tec-germany.com,scheibendurchmesser,3_ring_gear_diameter
573,abt.com,spin speed (rpm),3_spin_speed
574,greenwayford.com,stock,3_stock_number
575,pugmire.com,stock,3_stock_number
576,pugmirefordcarrollton.com,stock,3_stock_number
577,pugmirefordcartersville.com,stock,3_stock_number
579,sethwadleydodge.com,stock,3_stock_number
580,veteransfordtampa.com,stock,3_stock_number
581,allensamuelsdirect.com,stock,3_stock_number
582,allensamuels.com,stock,3_stock_number
583,regalhonda.com,stock,3_stock_number
584,andersonfordsc.com,stock,3_stock_number
585,ashevilleford.com,stock,3_stock_number
586,huntersvilleford.com,stock,3_stock_number
587,autoflex.com,stock,3_stock_number
588,billdubeford.com,stock,3_stock_number
589,billdubetoyota.com,stock,3_stock_number
590,rustyeckford.com,stock,3_stock_number
591,allensamuelsfar.com,stock,3_stock_number
