source,name,cluster_id_real
hunterauthority.com,color,20_color
edel-optics.com.mt,colour,20_color
edel-optics.in,colour,20_color
edel-optics.it,colore della montatura,20_color
edel-optics.ro,culoare rame,20_color
edel-optics.no,innfatningsfarge,20_color
edel-optics.ee,raami värvus,20_color
edel-optics.se,bågfärg,20_color
edel-optics.hr,boja okvira,20_color
edel-optics.lv,ietvara krāsa,20_color
edel-optics.fi,kehyksen väri,20_color
edel-optics.hu,keret szín,20_color
edel-optics.si,barva okvirja,20_color
edel-optics.ch,colore della montatura,20_color
edel-optics.co.id,warna rangka,20_color
edel-optics.fr,couleur de monture,20_color
edel-optics.pl,kolor oprawki,20_color
edel-optics.com.tr,çerçeve rengi,20_color
edel-optics.lt,rėmelių spalva,20_color
edel-optics.cz,farba rámov,20_color
edel-optics.sk,farba rámov,20_color
edel-optics.com.mt,kulur tal-frejm,20_color
edel-optics.de,farbe,20_color
softclox.com,farbe,20_color
stilldessous.com,farbe,20_color
thewallethut.com,color,20_color
golfsuppliesexpress.com,color,20_color
targus.com,colour,20_color
edel-optics.ca,colour,20_color
edel-optics.co.za,colour,20_color
edel-optics.com.cy,colour,20_color
edel-optics.ie,colour,20_color
edel-optics.my,colour,20_color
edel-optics.tw,colour,20_color
pulsiva.com,färg,20_available_colors
edel-optics.se,färg,20_color
edel-optics.mx,color de la montura,20_color
edel-optics.co,color de la montura,20_color
edel-optics.ch,rahmen-farbe,20_color
edel-optics.ca,couleur de monture,20_color
edel-optics.be,couleur de monture,20_color
edel-optics.at,farbe,20_color
edel-optics.ch,farbe,20_color
pulsiva.com,farbe,20_available_colors
cosplaysupplies.com,colour,20_color
budkoo.com,color,20_color
jmichaelsclothiers.com,color,20_color
tmart.com,color,20_color
suntekstore.com,color,20_color
cmonwealth.com,color,20_color
mensclothingexpress.com,color,20_color
edel-optics.co,color,20_color
edel-optics.mx,color,20_color
northerntool.com,color,20_color
eurooptic.com,color,20_color
fitnessgearexpress.com,color,20_color
katom.com,color,20_color
istyle99.com,colour,20_color
edel-optics.cl,color,20_color
edel-optics.com.ve,color,20_color
edel-optics.es,color,20_color
edel-optics.cl,color de la montura,20_color
edel-optics.es,color de la montura,20_color
edel-optics.com.ve,color de la montura,20_color
edel-optics.com.br,cor da armação,20_color
edel-optics.pt,cor da armação,20_color
edel-optics.at,rahmen-farbe,20_color
edel-optics.de,rahmen-farbe,20_color
edel-optics.ch,couleur de monture,20_color
edel-optics.be,kleur montuur,20_color
edel-optics.co.za,kleur montuur,20_color
dopplershop24.com,farbe,20_color
mcguirearmynavy.com,color,20_color
purchaze.com,color,20_color
mas-fashion.com,color,20_color
shopclues.com,color family,20_color_family
addoway.com,main color,20_color
addoway.com,wash,20_wash
pulver-blei.com,farbe,20_color
solebox.com,farbe,20_color
wmf.com,farbe,20_color
edel-optics.no,farge,20_color
ikaros.net,färg,20_color
pulsiva.com,farge,20_color
grosirtascantik.com,weight,1_weight
pusatgrosirtasmurah.com,weight,1_weight
edel-optics.bg,productid,1_glasses_pid
edel-optics.ca,productid,1_glasses_pid
edel-optics.cl,productid,1_glasses_pid
edel-optics.co,productid,1_glasses_pid
edel-optics.co.il,productid,1_glasses_pid
edel-optics.com.cy,productid,1_glasses_pid
edel-optics.com.tr,productid,1_glasses_pid
edel-optics.com.ve,productid,1_glasses_pid
edel-optics.fi,productid,1_glasses_pid
edel-optics.gr,productid,1_glasses_pid
edel-optics.ie,productid,1_glasses_pid
edel-optics.se,productid,1_glasses_pid
edel-optics.tw,productid,1_glasses_pid
edel-optics.at,produktid,1_glasses_pid
edel-optics.de,produktid,1_glasses_pid
edel-optics.ae,productid,1_glasses_pid
edel-optics.be,productid,1_glasses_pid
edel-optics.com.mt,productid,1_glasses_pid
edel-optics.cz,productid,1_glasses_pid
edel-optics.ee,productid,1_glasses_pid
edel-optics.es,productid,1_glasses_pid
edel-optics.fr,productid,1_glasses_pid
edel-optics.hr,productid,1_glasses_pid
edel-optics.in,productid,1_glasses_pid
edel-optics.lt,productid,1_glasses_pid
edel-optics.lv,productid,1_glasses_pid
edel-optics.my,productid,1_glasses_pid
edel-optics.pt,productid,1_glasses_pid
edel-optics.ru,productid,1_glasses_pid
edel-optics.si,productid,1_glasses_pid
edel-optics.ch,produktid,1_glasses_pid
cmonwealth.com,model,1_manu_pid
mensclothingexpress.com,model,1_manu_pid
dx.com,model,1_manu_pid
usedcourtenaycomox.com,ad id,1_ad_id
usednanaimo.com,ad id,1_ad_id
usedottawa.com,ad id,1_ad_id
usedpei.com,ad id,1_ad_id
usedvancouver.com,ad id,1_ad_id
usedvictoria.com,ad id,1_ad_id
promotionalproductinc.com,weight,1_weight
tmart.com,weight,1_weight
edel-optics.ch,productid,1_glasses_pid
edel-optics.co.za,productid,1_glasses_pid
edel-optics.hu,productid,1_glasses_pid
edel-optics.it,productid,1_glasses_pid
edel-optics.mx,productid,1_glasses_pid
edel-optics.no,productid,1_glasses_pid
edel-optics.pl,productid,1_glasses_pid
edel-optics.co.id,productid,1_glasses_pid
edel-optics.com.br,productid,1_glasses_pid
edel-optics.ro,productid,1_glasses_pid
edel-optics.sk,productid,1_glasses_pid
relatiegeschenkenxl.nl,artikelnummer,1_sku
cmc-versand.de,artikelnummer,1_sku
mas-fashion.com,model,1_model_id
usedcowichan.com,ad id,1_ad_id
usedwinnipeg.com,ad id,1_ad_id
uhr24.de,artikelnummer,1_sku
play-asia.com,catalog no,1_catalog_nb
budkoo.com,model,1_model_id
fitnessgearexpress.com,model,1_mpn
golfsuppliesexpress.com,model,1_itm
hunterauthority.com,model,1_model_id
thewallethut.com,model,1_model_id
shopclues.com,model id,1_model_id
rentreediscount.com,poids,1_weight
tmart.com,poids,1_weight
webecologie.com,poids,1_weight
addnature.com,produktnummer,1_model_id
katom.com,weight,1_weight
targus.com,weight,1_weight
edel-optics.ch,glasbreite in mm,11_lens_width
edel-optics.com.tr,camın genişliği,11_lens_width
edel-optics.de,glasbreite in mm,11_lens_width
edel-optics.com.br,largura das lentes,11_lens_width
edel-optics.at,glasbreite in mm,11_lens_width
edel-optics.pt,largura das lentes,11_lens_width
edel-optics.com.ve,ancho del cristal,11_lens_width
edel-optics.es,ancho del cristal,11_lens_width
edel-optics.no,bredde på glassene,11_lens_width
edel-optics.co.za,lens size,11_lens_width
edel-optics.com.mt,lens size,11_lens_width
edel-optics.my,lens size,11_lens_width
edel-optics.mx,ancho del cristal,11_lens_width
edel-optics.co.za,glasbreedte,11_lens_width
edel-optics.ca,lens size,11_lens_width
edel-optics.com.cy,lens size,11_lens_width
edel-optics.ie,lens size,11_lens_width
edel-optics.in,lens size,11_lens_width
edel-optics.tw,lens size,11_lens_width
edel-optics.cl,ancho del cristal,11_lens_width
edel-optics.co,ancho del cristal,11_lens_width
edel-optics.be,glasbreedte,11_lens_width
edel-optics.co.id,lebar lensa,11_lens_width
edel-optics.it,misura delle lenti,11_lens_width
edel-optics.ch,misura delle lenti,11_lens_width
edel-optics.be,dimension des verres,11_lens_width
edel-optics.ch,dimension des verres,11_lens_width
edel-optics.ca,dimension des verres,11_lens_width
edel-optics.fr,dimension des verres,11_lens_width
edel-optics.ro,dimensiunea lentilei,11_lens_width
edel-optics.hu,lencse mérete,11_lens_width
edel-optics.lt,stiklo plotis,11_lens_width
edel-optics.hr,širina stakla,11_lens_width
edel-optics.sk,šírka skla,11_lens_width
edel-optics.com.mt,ħxuna tal-lenti,11_lens_width
edel-optics.si,širina stekel,11_lens_width
edel-optics.fi,linssin leveys,11_lens_width
edel-optics.cz,šířka skel,11_lens_width
edel-optics.se,glasbredd,11_lens_width
edel-optics.pl,szerokość szkieł,11_lens_width
edel-optics.ee,klaasi laius,11_lens_width
edel-optics.lv,lēcas platums,11_lens_width
absatzplus.com,zuzüglich 19% mwst,11_vat
tweakers.net,"pakketpost (tot € 20,-)",11_post_price
neurika.com,alto (mm),11_height
alibris.com,available quantity,11_available_quantity
trickandroll.com,backsweep,11_backsweep
addoway.com,bottoms size (women's),11_women_size
ebates.com,ebates cash back,11_ebates_cash_back
addoway.com,intimates & sleep size (women's),11_women_size
grandinettisport.com,misura l (ita 50),11_nb_l_measures
igotitfreeonline.com,model number,11_model_id
specsandlens.com,model number,11_model_id
webecologie.com,note,11_note
play-asia.com,original name,11_original_name
